ID,BAS_Drive,BAS_Fun,BAS_Reward,BIS
sub-010017,9,13,16,19
sub-010015,10,11,13,22
sub-010100,11,12,14,25
sub-010003,11,11,16,22
sub-010022,9,12,19,19
sub-010021,12,11,19,22
sub-010023,13,11,19,26
sub-010104,8,9,12,14
sub-010010,10,11,15,20
sub-010016,14,12,19,18
sub-010019,13,13,20,24
sub-010024,11,12,17,23
sub-010026,12,11,17,18
sub-010027,11,12,15,19
sub-010134,12,12,17,24
sub-010028,10,13,14,15
sub-010029,12,14,20,21
sub-010030,12,13,18,24
sub-010150,9,15,19,23
sub-010032,13,14,16,19
sub-010031,14,11,18,23
sub-010321,9,13,17,21
sub-010033,12,12,16,25
sub-010020,16,16,19,17
sub-010170,9,12,14,18
sub-010183,12,15,14,24
sub-010035,11,9,14,24
sub-010197,15,14,19,19
sub-010202,14,11,17,23
sub-010034,14,13,14,17
sub-010199,11,11,18,16
sub-010040,9,14,16,24
sub-010039,14,14,18,16
sub-010006,15,16,18,22
sub-010012,11,11,15,16
sub-010219,15,12,18,16
sub-010041,15,12,20,22
sub-010222,16,14,19,20
sub-010002,11,12,16,15
sub-010004,16,15,20,23
sub-010044,11,9,16,24
sub-010037,11,11,14,15
sub-010223,11,9,18,16
sub-010043,12,10,14,20
sub-010045,10,10,17,20
sub-010047,12,10,14,19
sub-010007,10,11,16,20
sub-010046,11,11,17,22
sub-010048,16,14,20,19
sub-010049,9,10,16,19
sub-010234,14,12,19,21
sub-010059,11,14,17,18
sub-010236,16,13,20,20
sub-010056,12,13,14,17
sub-010062,12,12,16,19
sub-010063,9,10,15,23
sub-010060,13,12,18,26
sub-010051,14,14,18,17
sub-010050,13,12,19,15
sub-010042,11,14,16,18
sub-010068,13,13,17,25
sub-010070,14,12,19,19
sub-010238,14,13,17,21
sub-010207,13,11,17,20
sub-010069,12,11,19,21
sub-010073,8,14,17,21
sub-010075,9,11,12,20
sub-010076,11,10,14,24
sub-010065,9,12,17,20
sub-010077,14,14,17,19
sub-010061,13,12,18,15
sub-010074,11,9,18,21
sub-010078,12,11,19,19
sub-010052,14,14,20,14
sub-010071,15,13,18,22
sub-010080,13,11,19,15
sub-010067,12,15,17,21
sub-010064,14,14,18,23
sub-010072,16,15,20,13
sub-010081,11,10,16,20
sub-010079,15,16,20,22
sub-010240,9,13,12,17
sub-010083,12,15,20,26
sub-010084,12,11,18,21
sub-010053,12,11,15,19
sub-010085,10,11,15,19
sub-010066,10,13,16,20
sub-010086,13,12,17,17
sub-010089,13,13,17,20
sub-010087,10,12,17,21
sub-010242,10,12,17,23
sub-010038,11,14,19,21
sub-010246,12,10,15,20
sub-010243,13,12,20,22
sub-010090,15,12,20,22
sub-010247,14,11,17,25
sub-010248,12,11,19,24
sub-010244,13,12,15,18
sub-010250,12,14,16,15
sub-010088,14,11,19,19
sub-010251,12,11,16,19
sub-010091,15,12,17,15
sub-010245,10,12,12,16
sub-010249,11,11,15,23
sub-010092,13,11,17,18
sub-010241,12,12,16,22
sub-010094,10,12,17,22
sub-010252,11,13,17,13
sub-010126,12,13,17,23
sub-010254,11,12,18,15
sub-010093,13,11,19,18
sub-010256,11,11,16,19
sub-010137,15,12,18,20
sub-010136,12,10,14,19
sub-010142,11,13,16,21
sub-010262,16,11,20,19
sub-010264,8,14,16,24
sub-010036,10,13,16,20
sub-010239,12,12,16,18
sub-010138,13,10,17,20
sub-010148,11,9,14,19
sub-010152,12,11,15,21
sub-010146,10,10,12,18
sub-010141,11,15,17,16
sub-010257,12,11,17,19
sub-010265,15,9,20,26
sub-010258,15,15,17,17
sub-010260,14,13,17,17
sub-010263,16,14,20,12
sub-010271,16,13,18,19
sub-010269,10,11,14,25
sub-010267,11,10,14,20
sub-010273,13,13,17,19
sub-010163,9,12,17,19
sub-010165,8,11,15,19
sub-010162,13,13,17,24
sub-010270,13,14,20,21
sub-010268,9,8,15,17
sub-010155,11,10,17,25
sub-010164,14,13,19,20
sub-010272,16,15,20,17
sub-010261,11,10,14,20
sub-010266,12,12,17,26
sub-010274,12,14,17,21
sub-010166,13,14,20,23
sub-010255,10,13,17,14
sub-010275,13,12,19,23
sub-010168,12,13,16,22
sub-010157,12,12,17,22
sub-010176,13,9,20,18
sub-010276,11,13,16,18
sub-010279,16,14,20,21
sub-010280,12,11,16,21
sub-010278,16,15,19,18
sub-010277,13,13,16,17
sub-010282,15,14,16,19
sub-010283,10,12,14,20
sub-010284,10,10,17,21
sub-010285,13,11,18,22
sub-010287,12,12,17,21
sub-010288,12,11,17,19
sub-010290,10,12,15,21
sub-010291,11,10,14,18
sub-010289,14,10,17,17
sub-010286,13,12,18,20
sub-010191,10,10,14,19
sub-010192,13,11,18,18
sub-010292,8,10,15,23
sub-010193,13,13,17,20
sub-010296,13,15,18,16
sub-010194,12,13,18,21
sub-010195,13,10,19,16
sub-010294,11,14,18,18
sub-010297,8,14,17,16
sub-010196,12,13,19,19
sub-010298,14,14,16,14
sub-010200,10,12,18,23
sub-010299,15,14,18,24
sub-010201,8,15,15,19
sub-010295,12,15,17,16
sub-010300,12,14,17,24
sub-010213,10,12,16,20
sub-010204,16,13,19,22
sub-010214,11,11,17,18
sub-010301,11,12,19,23
sub-010215,10,13,16,21
sub-010210,8,12,15,28
sub-010303,12,11,15,16
sub-010218,12,14,15,19
sub-010203,13,13,18,15
sub-010306,13,12,18,17
sub-010319,13,15,13,23
sub-010216,13,11,16,19
sub-010305,13,13,19,19
sub-010220,10,12,15,17
sub-010308,13,14,16,20
sub-010307,11,15,18,14
sub-010302,9,12,17,21
sub-010309,9,13,15,18
sub-010304,11,13,17,19
sub-010224,14,10,17,20
sub-010225,12,12,17,21
sub-010310,14,15,14,12
sub-010312,13,11,19,12
sub-010253,16,15,19,19
sub-010314,8,15,15,25
sub-010226,14,14,17,20
sub-010311,10,13,20,24
sub-010228,8,13,15,23
sub-010315,8,10,14,18
sub-010317,9,11,18,27
sub-010229,10,13,15,19
sub-010227,10,10,16,21
sub-010316,14,10,19,20
sub-010230,14,14,19,18
sub-010005,13,15,20,24
sub-010231,12,13,19,20
sub-010232,13,12,19,18
sub-010233,12,12,17,22
sub-010318,13,15,19,22
